session_id,event_type,x,y,timestamp
0c1d6516-6fff-4240-b4c9-2645297949b5,mouse_move,122,184,404
0c1d6516-6fff-4240-b4c9-2645297949b5,mouse_move,172,219,451
0c1d6516-6fff-4240-b4c9-2645297949b5,mouse_move,223,253,547
0c1d6516-6fff-4240-b4c9-2645297949b5,mouse_move,273,288,643
0c1d6516-6fff-4240-b4c9-2645297949b5,mouse_move,323,323,755
0c1d6516-6fff-4240-b4c9-2645297949b5,mouse_move,373,358,802
0c1d6516-6fff-4240-b4c9-2645297949b5,mouse_move,424,392,850
0c1d6516-6fff-4240-b4c9-2645297949b5,mouse_move,474,427,897
0c1d6516-6fff-4240-b4c9-2645297949b5,mouse_move,524,462,977
0c1d6516-6fff-4240-b4c9-2645297949b5,mouse_move,574,497,1025
0c1d6516-6fff-4240-b4c9-2645297949b5,mouse_move,625,531,1109
df510e88-3c43-4157-a58d-9ee7f96b7f90,mouse_move,116,66,397
df510e88-3c43-4157-a58d-9ee7f96b7f90,mouse_move,159,102,461
df510e88-3c43-4157-a58d-9ee7f96b7f90,mouse_move,203,138,541
df510e88-3c43-4157-a58d-9ee7f96b7f90,mouse_move,246,174,589
df510e88-3c43-4157-a58d-9ee7f96b7f90,mouse_move,290,210,653
df510e88-3c43-4157-a58d-9ee7f96b7f90,mouse_move,333,246,750
df510e88-3c43-4157-a58d-9ee7f96b7f90,mouse_move,377,281,830
df510e88-3c43-4157-a58d-9ee7f96b7f90,mouse_move,420,317,893
df510e88-3c43-4157-a58d-9ee7f96b7f90,mouse_move,464,353,974
df510e88-3c43-4157-a58d-9ee7f96b7f90,mouse_move,507,389,1021
df510e88-3c43-4157-a58d-9ee7f96b7f90,mouse_move,551,425,1085
a35c03a0-197c-473a-8149-86a95819182b,mouse_move,176,166,402
a35c03a0-197c-473a-8149-86a95819182b,mouse_move,249,230,481
a35c03a0-197c-473a-8149-86a95819182b,mouse_move,322,293,577
a35c03a0-197c-473a-8149-86a95819182b,mouse_move,396,357,657
